Season,Team,Promoted,Relegated,Division,Played,Won,Drew,Lost,For,Against,Points,League Position,TeamsInTopLeague,OverallPosition,FA Cup,League Cup,Community Shield,Champions League,Europa League,Cup Winners’ Cup,Super Cup,Club World Cup,HomeLeagueGamesPlayed,HomeLeagueGameResult,HomeLeagueGoalsForHeadToHead,HomeLeagueGoalsAgainstHeadToHead,HomeLeagueWinsHeadToHead,HomeLeagueDrawsHeadToHead,HomeLeagueLostHeadToHead,AwayLeagueGamesPlayed,AwayLeagueGameResult,AwayLeagueGoalsForHeadToHead,AwayLeagueGoalsAgainstHeadToHead,AwayLeagueWinsHeadToHead,AwayLeagueDrawsHeadToHead,AwayLeagueLostHeadToHead,TotalLeaguePlayedHeadToHead,TotalLeagueWonHeadToHead,TotalLeagueDrawHeadToHead,TotalLeagueLostHeadToHead,TotalLeagueGoalsForHeadToHead,TotalLeagueGoalsAgainstHeadToHead,TotalLeaguePointsHeadToHead,HomeCupGamesPlayed,HomeCupGameResult,HomeCupGoalsForHeadToHead,HomeCupGoalsAgainstHeadToHead,HomeCupWinsHeadToHead,HomeCupDrawsHeadToHead,HomeCupLostHeadToHead,AwayCupGamesPlayed,AwayCup GameResult,AwayCupGoalsForHeadToHead,AwayCupGoalsAgainstHeadToHead,AwayCupWinsHeadToHead,AwayCupDrawsHeadToHead,AwayCupLostHeadToHead,NeutralCupGamesPlayed,NeutralCupGameResult,NeutralCupGoalsForHeadToHead,NeutralCupGoalsAgainstHeadToHead,NeutralCupWinsHeadToHead,NeutralCupDrawsHeadToHead,NeutralCupLostHeadToHead,TotalCupPlayedHeadToHead,TotalCupWonHeadToHead,TotalCupDrawHeadToHead,TotalCupLostHeadToHead,TotalCupGoalsForHeadToHead,TotalCupGoalsAgainstHeadToHead,TotalAllPlayedHeadToHead,TotalAllWonHeadToHead,TotalAllDrawHeadToHead,TotalAllLostHeadToHead,TotalAllGoalsForHeadToHead,TotalAllGoalsAgainstHeadToHead
1958,Manchester,,,Division 1,42,16,11,15,85,75,43,9,22,9,Runners-up,,W,European Cup – SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,Manchester,,,Division 1,42,24,7,11,103,66,55,2,22,2,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,Manchester,,,Division 1,42,19,7,16,102,80,45,7,22,7,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3-1,3,1,1,,,,,,,,,,1,1,,,3,1,1,1,0,0,3,1
1961,Manchester,,,Division 1,42,18,9,15,88,76,45,7,22,7,R4,R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,Manchester,,,Division 1,42,15,9,18,72,75,39,15,22,15,SF,n/ [19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,Manchester,,,Division 1,42,12,10,20,67,81,34,19,22,19,W,n/ [19,,,,,,,1,3–3,3,3,,1,,1,0-1,0,1,,,1,2,0,1,1,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,3,4
1964,Manchester,,,Division 1,42,23,7,12,90,62,53,2,22,2,SF,n/ [19,Runners-up,Cup Winners' Cup – QF,,,,,1,0–1,0,1,,,1,1,0-3,0,3,,,1,2,0,0,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,0,4
1965,Manchester,,,Division 1,42,26,9,7,89,39,61,1,22,1,SF,n/ [19,,Inter-Cities Fairs Cup – SF,,,,,1,3–0,3,0,1,,,1,2-0,2,0,1,,,2,2,0,0,5,0,4,1,2-2,2,2,,1,,,,,,,,,,,,,,,,1,,1,,2,2,3,2,1,0,7,2
1966,Manchester,,,Division 1,42,18,15,9,84,59,51,4,22,4,SF,n/ [19,W,European Cup – SF,,,,,1,2–0,2,0,1,,,1,1-2,1,2,,,1,2,1,0,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,3,2
1967,Manchester,,,Division 1,42,24,12,6,84,45,60,1,22,1,R4,R2,,,,,,,1,2–2,2,2,,1,,1,0–0,0,0,,1,,2,0,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,2
1968,Manchester,,,Division 1,42,24,8,10,89,55,56,2,22,2,R3,,W,W,,,,,1,1–2,1,2,,,1,1,2-1,2,1,1,,,2,1,0,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,3,3
1969,Manchester,,,Division 1,42,15,12,15,57,53,42,11,22,11,R6,,,"European Cup – SF
		Intercontinental Cup – Runners-up",,,,,1,1–0,1,0,1,,,1,0-2,0,2,,,1,2,1,0,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,2
1970,Manchester,,,Division 1,42,14,17,11,66,61,45,8,22,8,Third place,SF,,,,,,,1,1–0,1,0,1,,,1,4-1,4,1,1,,,2,2,0,0,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,5,1
1971,Manchester,,,Division 1,42,16,11,15,65,66,43,8,22,8,R3,SF,,,,,,,1,0–2,0,2,,,1,1,1–1,1,1,,1,,2,0,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,3
